id,file,cwx,cwy,colx,coly,seed,mask,filter,repeater,repeatidx,layout
bdb03e6a-484b-11ea-1ffb-cba4352212de,img/regular/141338/colony4j-bdb03e6a-484b-11ea-1ffb-cba4352212de.png,10,10,50,50,square,[1 1 1; 4 0 4; 1 1 1],"[1]=>0;[7, 4, 2, 3, 5, 8, 6]=>1;[0]=>same;[9]=>switch",false,Int64[],"TiledLayout(""png"")"
bf12cbf6-484b-11ea-19dd-97fcc97fc51a,img/regular/141338/colony4j-bf12cbf6-484b-11ea-19dd-97fcc97fc51a.png,10,10,50,50,random,[2 4 2; 1 0 1; 2 4 2],"[1]=>0;[7, 4, 2, 3, 5, 8, 6]=>1;[9]=>same;[0]=>switch",false,Int64[],"TiledLayout(""png"")"
bfcd4b22-484b-11ea-1e59-61202990f57b,img/repeat/141338/colony4j-bfcd4b22-484b-11ea-1e59-61202990f57b.png,10,10,50,50,blank,[4 1 4; 4 4 4; 4 1 4],"[0]=>0;[7, 4, 2, 3, 5, 8, 6]=>1;[1]=>same;[9]=>switch",true,[1],"TiledLayout(""png"")"
c0d6023e-484b-11ea-2f45-6f81293839e9,img/regular/141338/colony4j-c0d6023e-484b-11ea-2f45-6f81293839e9.png,10,10,50,50,random,[4 1 4; 2 0 2; 4 1 4],"[0]=>0;[7, 4, 2, 3, 5, 8, 6]=>1;[9]=>same;[1]=>switch",false,Int64[],"TiledLayout(""png"")"
c1af4768-484b-11ea-3597-4b90e7177745,img/repeat/141338/colony4j-c1af4768-484b-11ea-3597-4b90e7177745.png,10,10,50,50,square,[3 3 3; 1 0 1; 3 3 3],"[9]=>0;[7, 4, 2, 3, 5, 8, 6]=>1;[1]=>same;[0]=>switch",true,[13],"TiledLayout(""png"")"
c28eaade-484b-11ea-348a-5582be2cff03,img/regular/141338/colony4j-c28eaade-484b-11ea-348a-5582be2cff03.png,10,10,50,50,square,[4 4 4; 2 0 2; 4 4 4],"[9]=>0;[7, 4, 2, 3, 5, 8, 6]=>1;[0]=>same;[1]=>switch",false,Int64[],"TiledLayout(""png"")"
f37360ba-4853-11ea-2088-11a6c865421b,img/repeat/151305/colony4j-f37360ba-4853-11ea-2088-11a6c865421b.png,10,10,50,50,blank,[4 4 4; 4 0 4; 4 4 4],"[3]=>0;[7, 0, 9, 2, 5, 8, 1]=>1;[4]=>same;[6]=>switch",true,[1],"TiledLayout(""png"")"
f5e2c73a-4853-11ea-1df5-fd38fb4af872,img/repeat/151305/colony4j-f5e2c73a-4853-11ea-1df5-fd38fb4af872.png,10,10,50,50,blank,[4 2 4; 1 0 1; 4 2 4],"[3]=>0;[7, 0, 9, 2, 5, 8, 1]=>1;[6]=>same;[4]=>switch",true,[1],"TiledLayout(""png"")"
f655502c-4853-11ea-0f5f-7352bc43275b,img/repeat/151305/colony4j-f655502c-4853-11ea-0f5f-7352bc43275b.png,10,10,50,50,random,[2 0 2; 4 0 4; 2 0 2],"[4]=>0;[7, 0, 9, 2, 5, 8, 1]=>1;[3]=>same;[6]=>switch",true,[6],"TiledLayout(""png"")"
f6ce8dac-4853-11ea-3984-df6a456d9bca,img/repeat/151305/colony4j-f6ce8dac-4853-11ea-3984-df6a456d9bca.png,10,10,50,50,square,[4 0 4; 2 0 2; 4 0 4],"[4]=>0;[7, 0, 9, 2, 5, 8, 1]=>1;[6]=>same;[3]=>switch",true,[15],"TiledLayout(""png"")"
f7335cdc-4853-11ea-0139-9d0249aac1b4,img/repeat/151305/colony4j-f7335cdc-4853-11ea-0139-9d0249aac1b4.png,10,10,50,50,blank,[3 0 3; 4 0 4; 3 0 3],"[6]=>0;[7, 0, 9, 2, 5, 8, 1]=>1;[3]=>same;[4]=>switch",true,[1],"TiledLayout(""png"")"
f7a1b400-4853-11ea-29af-9998a5355476,img/repeat/151305/colony4j-f7a1b400-4853-11ea-29af-9998a5355476.png,10,10,50,50,blank,[2 0 2; 4 1 4; 2 0 2],"[6]=>0;[7, 0, 9, 2, 5, 8, 1]=>1;[4]=>same;[3]=>switch",true,[1],"TiledLayout(""png"")"
f847ff1a-4853-11ea-3f09-f30c725d2eb2,img/repeat/151305/colony4j-f847ff1a-4853-11ea-3f09-f30c725d2eb2.png,10,10,50,50,square,[1 4 1; 1 0 1; 1 4 1],"[7, 0, 9, 2, 5, 8, 1]=>0;[3]=>1;[4]=>same;[6]=>switch",true,[3],"TiledLayout(""png"")"
