id,file,seed,mask,filter,repeater
aa877abe-01e5-11e8-292e-41f658e948a7,img/repeat/123418/colony4j-aa877abe-01e5-11e8-292e-41f658e948a7.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[1]=>1;[7, 4, 5]=>same;[8]=>switch",TRUE
ab261c1e-01e5-11e8-16f1-6b9a4b711f83,img/repeat/123418/colony4j-ab261c1e-01e5-11e8-16f1-6b9a4b711f83.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[1]=>1;[4, 5, 8]=>same;[7]=>switch",TRUE
ac07038c-01e5-11e8-1cd3-2fb0b1627eb7,img/repeat/123418/colony4j-ac07038c-01e5-11e8-1cd3-2fb0b1627eb7.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[1]=>1;[7, 4, 8]=>same;[5]=>switch",TRUE
aca5e542-01e5-11e8-2838-d506877325bd,img/regular/712411/colony4j-aca5e542-01e5-11e8-2838-d506877325bd.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[1]=>1;[7, 4, 8]=>same;[5]=>switch",FALSE
ad522460-01e5-11e8-253c-7f2c271f8462,img/repeat/123418/colony4j-ad522460-01e5-11e8-253c-7f2c271f8462.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[1]=>1;[7, 4, 5, 8]=>same;nothing=>switch",TRUE
adfe2788-01e5-11e8-0cc8-3f48d655641a,img/repeat/123418/colony4j-adfe2788-01e5-11e8-0cc8-3f48d655641a.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[1]=>1;[7, 4, 5, 8]=>same;nothing=>switch",TRUE
aed20d96-01e5-11e8-06af-537079f6df11,img/repeat/123418/colony4j-aed20d96-01e5-11e8-06af-537079f6df11.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;nothing=>1;[7, 4, 5, 8]=>same;nothing=>switch",TRUE
af8edbec-01e5-11e8-3ba7-6f8a83f7b266,img/repeat/123418/colony4j-af8edbec-01e5-11e8-3ba7-6f8a83f7b266.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;nothing=>1;[7, 4, 5, 8]=>same;nothing=>switch",TRUE
b025f9fa-01e5-11e8-1e7b-4f72f046d9e1,img/repeat/123418/colony4j-b025f9fa-01e5-11e8-1e7b-4f72f046d9e1.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[8]=>same;[4, 1]=>switch",TRUE
b0d12582-01e5-11e8-1491-b9349b326419,img/repeat/123418/colony4j-b0d12582-01e5-11e8-1491-b9349b326419.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[4]=>same;[8, 1]=>switch",TRUE
b19e4ad8-01e5-11e8-2ba2-6b0bbd8c001c,img/regular/712411/colony4j-b19e4ad8-01e5-11e8-2ba2-6b0bbd8c001c.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[1]=>same;[4, 8]=>switch",FALSE
b2bed79a-01e5-11e8-3b3a-1bdc37bc495c,img/repeat/123418/colony4j-b2bed79a-01e5-11e8-3b3a-1bdc37bc495c.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[1]=>same;[4, 8]=>switch",TRUE
b34ceb5c-01e5-11e8-3e89-2fc7d5929715,img/repeat/123418/colony4j-b34ceb5c-01e5-11e8-3e89-2fc7d5929715.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[4, 8]=>same;[1]=>switch",TRUE
b40e3c6e-01e5-11e8-1bf8-e70978c77b7f,img/repeat/123418/colony4j-b40e3c6e-01e5-11e8-1bf8-e70978c77b7f.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[8, 1]=>same;[4]=>switch",TRUE
b4f1fad8-01e5-11e8-1b6d-3f8414242dc5,img/repeat/123418/colony4j-b4f1fad8-01e5-11e8-1b6d-3f8414242dc5.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[4, 1]=>same;[8]=>switch",TRUE
b5ab837c-01e5-11e8-2b4f-ad6bdf6bc8d4,img/regular/712411/colony4j-b5ab837c-01e5-11e8-2b4f-ad6bdf6bc8d4.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[4, 1]=>same;[8]=>switch",FALSE
b64d0b40-01e5-11e8-207c-db614ae380f1,img/repeat/123418/colony4j-b64d0b40-01e5-11e8-207c-db614ae380f1.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[4, 8, 1]=>same;nothing=>switch",TRUE
b734d7d4-01e5-11e8-3351-59cb1f75df0e,img/repeat/123418/colony4j-b734d7d4-01e5-11e8-3351-59cb1f75df0e.png,blank,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[7, 5]=>1;[4, 8, 1]=>same;nothing=>switch",TRUE
b7e95de4-01e5-11e8-1d38-a5c3f8566d99,img/repeat/123418/colony4j-b7e95de4-01e5-11e8-1d38-a5c3f8566d99.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5]=>1;[4, 8, 1]=>same;nothing=>switch",TRUE
b8d6c070-01e5-11e8-1452-c3dce0ac3629,img/repeat/123418/colony4j-b8d6c070-01e5-11e8-1452-c3dce0ac3629.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5]=>1;[4, 8, 1]=>same;nothing=>switch",TRUE
b99e8ef2-01e5-11e8-01ae-c3e8db6b7414,img/regular/712411/colony4j-b99e8ef2-01e5-11e8-01ae-c3e8db6b7414.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[7]=>same;[4, 1]=>switch",FALSE
ba35b5de-01e5-11e8-1231-578a85009ba3,img/regular/712411/colony4j-ba35b5de-01e5-11e8-1231-578a85009ba3.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[4]=>same;[7, 1]=>switch",FALSE
bad69cc4-01e5-11e8-1542-b30f15d519d5,img/regular/712411/colony4j-bad69cc4-01e5-11e8-1542-b30f15d519d5.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[1]=>same;[7, 4]=>switch",FALSE
bba21fca-01e5-11e8-2987-87b720260002,img/regular/712411/colony4j-bba21fca-01e5-11e8-2987-87b720260002.png,random,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[1]=>same;[7, 4]=>switch",FALSE
bc32e9ce-01e5-11e8-1997-1b36b3657cff,img/repeat/123418/colony4j-bc32e9ce-01e5-11e8-1997-1b36b3657cff.png,square,[1 2 2 2 2 2 1; 1 2 4 4 4 2 1; 1 2 4 8 4 2 1; 1 2 4 16 4 2 1; 1 2 4 8 4 2 1; 1 2 4 8 4 2 1; 1 2 2 2 2 2 1],"[0, 9, 2, 3, 6]=>0;[5, 8]=>1;[7, 4]=>same;[1]=>switch",TRUE
